title,authors,numPages,publicationDate,publisher,price
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,652,9/16/2006,Scholastic Inc.,93.57
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,870,9/1/2004,Scholastic Inc.,3.83
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,352,11/1/2003,Scholastic,84.04
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,435,5/1/2004,Scholastic Inc.,76.79
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2690,9/13/2004,Scholastic,57.09
Unauthorized Harry Potter Book Seven News: "Half-Blood Prince" Analysis and Speculation,W. Frederick Zimmerman,152,4/26/2005,Nimble Books,47.82
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,3342,9/12/2005,Scholastic,60.48
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,11/1/2005,Gramercy Books,38.2
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,4/30/2002,Del Rey Books,49.13
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,215,8/3/2004,Crown,24.46
